Trt,Calories,,,,,,
1,435.16,,,,,,
1,338.99,,,,Mean Participated,,431.3996
1,488.73,,,,Mean Didn't Participate,,346.7990909
1,590.28,,,,,,
1,582.59,,,,,,0.007039485
1,635.21,,,,,,
1,249.86,,,,Trt 1 = Participated,,
1,441.66,,,,Trt 2 = Did Not Particpate,,
1,572.43,,,,,,
1,357.78,,,,,,
1,396.79,,,,,,
1,298.38,,,,,,
1,282.99,,,,,,
1,368.51,,,,,,
1,388.59,,,,,,
1,256.32,,,,,,
1,408.82,,,,,,
1,424.94,,,,,,
1,477.96,,,,,,
1,428.74,,,,,,
1,432.52,,,,,,
1,428.27,,,,,,
1,596.79,,,,,,
1,456.3,,,,,,
1,446.38,,,,,,
2,414.61,,,,,,
2,503.46,,,,,,
2,425.22,,,,,,
2,288.77,,,,,,
2,184,,,,,,
2,299.73,,,,,,
2,350.65,,,,,,
2,394.94,,,,,,
2,261.55,,,,,,
2,295.28,,,,,,
2,139.69,,,,,,
2,462.78,,,,,,
2,179.59,,,,,,
2,301.75,,,,,,
2,436.58,,,,,,
2,371.39,,,,,,
2,469.02,,,,,,
2,378.09,,,,,,
2,287.31,,,,,,
2,448.55,,,,,,
2,332.64,,,,,,
2,403.98,,,,,,
